58.28,57.67,58.52,58.73,
58.36,57.57,58.93,58.32,
58.34,58.62,57.94,58.54,
57.66,57.7,58.83,58.54,
57.48,57.85,58.42,58.99,
57.02,57.33,59.19,59.64,
57.81,57.72,58.52,59.14,
57.79,57.79,58.85,59.2,
57.26,58.51,58.58,59.29,
57.3,57.83,59.04,59.22,
57.65,57.66,59.18,58.86,
57.57,57.42,59.48,59.53,
57.6,56.9,59.91,59.29,
57.18,56.22,60.58,59.64,
57.58,56.38,59.72,59.53,
57.15,56.5,60.01,59.8,
57.59,57.03,59.61,58.94,
57.0,56.84,59.79,59.64,
57.3,57.45,59.23,59.27,
56.88,57.25,59.65,59.63,
56.94,57.67,59.15,59.7,
56.68,57.42,59.58,60.19,
56.65,57.24,59.57,59.52,
56.07,56.89,59.91,60.13,
56.31,56.78,59.76,60.6,
56.26,56.11,60.18,60.14,
56.09,56.12,60.56,60.83,
56.0,55.91,60.48,60.46,
56.71,56.9,60.06,59.89,
56.41,56.57,60.19,60.33,
56.25,56.24,60.51,60.76,
56.19,55.56,60.59,60.53,
56.89,55.92,60.59,60.12,
56.59,55.6,60.77,60.18,
56.65,55.42,61.39,59.7,
56.03,55.42,61.06,60.51,
56.6,55.41,60.83,59.83,
57.05,55.52,60.65,60.19,
57.09,55.91,60.62,59.2,
57.36,55.46,61.35,59.34,
57.96,55.54,60.85,58.69,
58.29,55.13,61.2,58.82,
57.83,54.82,61.87,58.99,
